时间,上海,北京,广州,深圳,杭州,南京,武汉,西安,天津,成都,重庆
201901,100.49648734517166,103.03509566686208,109.31828778075376,99.9925995851736,106.05217145252811,101.39263597608542,111.64479601841664,124.22260500295975,101.81192936784998,113.55245666025972,112.34188138763484
201902,100.79797680720718,102.82902547552835,110.52078894634204,99.9925995851736,106.58243230979076,101.39263597608542,112.87288877461924,125.5890536579923,102.2191770853214,114.34732385688154,113.12827455734828
201903,100.69717883039998,103.24034157743048,111.40495525791276,99.69262178641809,107.00876203902992,101.4940286120615,113.66299899604157,126.84494419457222,102.52583461657736,115.14775512387972,113.80704420469236
201904,100.99927036689118,103.75654328531763,112.6304097657498,100.09139227356374,108.07884965942024,102.00149875512182,114.799628986002,128.24023858071251,103.2435154588934,116.06893716487076,115.17272873514868
201905,100.8982710965243,104.37908254502956,113.5314530438758,100.491757842658,108.94348045669558,102.81751074516278,116.17722453383402,130.80504335232675,103.4500024898112,116.53321291353024,117.24583785238136
201906,101.20096590981387,104.27470346248452,113.8720474030074,100.9942166318713,110.14185874171922,102.92032825590792,117.33899677917236,133.0287290893163,103.86380249977044,118.04814468140611,118.06655871734804
201907,101.09976494390406,104.90035168325944,114.21366354521643,100.9942166318713,110.6925680354278,104.15537219497882,118.62972574374324,134.89113129656673,103.55221109227114,119.5827705622644,119.24722430452152
201908,101.40306423873577,105.42485344167574,114.44209087230688,101.19620506513505,110.6925680354278,103.94706145058886,119.9346527269244,135.56558695304955,103.6557633033634,120.41984995620024,118.88948263160796
201909,101.91007955992944,105.42485344167574,114.44209087230688,102.41055952591664,110.91395317149868,104.77863794219355,120.89412994873982,136.5145460617209,103.86307482997012,121.26278890589364,119.48393004476598
201910,102.31771987816916,105.2140037347924,114.32764878143458,102.82020176402033,110.69212526515568,104.98819521807796,122.1030712482272,137.7431769762764,103.44762253065024,123.08173073948204,119.72289790485551
201911,102.62467303780367,107.00264179828386,113.7560105375274,103.02584216754836,110.58143313989052,104.88320702285988,123.07989581821305,138.70737921511034,103.44762253065024,124.0663845853979,120.3215123943798
201912,102.62467303780367,107.430652365477,113.41474250591482,103.7470230627212,110.9131774393102,104.88320702285988,124.18761488057694,139.6783308696161,103.34417490811958,124.68671650832488,120.92311995635173
202001,103.1377964029927,107.430652365477,113.75498673343256,104.26575817803482,111.24591697162812,104.98809022988274,124.68436534009926,140.09736586222493,103.13748655830334,125.06077665784986,120.92311995635173
202002,103.1377964029927,107.53808301784248,113.64123174669912,104.26575817803482,111.13467105465652,104.88310213965288,124.68436534009926,140.09736586222493,102.72493661207012,126.56150597774403,120.56035059648266
202003,103.24093419939568,107.53808301784248,113.07302558796565,104.787086968925,112.57942177836703,105.09286834393218,124.68436534009926,140.79785269153606,102.62221167545806,127.19431350763276,120.92203164827212
202004,103.86037980459204,107.21546876878894,113.07302558796565,104.787086968925,113.59263657437234,106.98453997412297,124.43499660941907,141.64263980768527,102.82745609880898,128.0846737021862,122.13125196475482
202005,104.69126284302878,107.75154611263288,113.41224466472951,105.41580949073854,114.38778503039296,108.26835445381244,124.93273659585677,142.3508530067237,103.23876592320424,128.72509707069713,123.10830198047286
202006,105.21471915724392,108.18255229708342,114.09271813271788,106.25913596666446,115.76043845075766,109.35103799835056,126.68179490819875,143.48965983077747,103.85819851874344,129.8836229443334,124.21627669829712
202007,105.6355780338729,108.50709995397466,115.00545987777964,106.89669078246445,115.9919593276592,109.46038903634891,127.56856747255615,144.7810667692545,104.37748951133716,131.05257555083242,124.8373580817886
202008,106.26939150207616,109.15814255369853,116.04050901667964,107.43117423637678,116.45592716496984,109.46038903634891,128.3339788773915,146.37365850371626,104.69062197987118,132.36310130634075,125.33670751411576
202009,106.80073845958653,109.4856169813596,116.73675207077972,107.86089893332228,116.45592716496984,109.46038903634891,128.84731479290107,147.544647771746,104.90000322383094,132.76019061025977,126.08872775920048
202010,107.12114067496526,109.70458821532232,117.32043583113362,108.07662073118894,116.45592716496984,109.89823059249431,129.36270405207267,148.28237101060472,104.4804032109356,132.89295080087,126.34090521471887
202011,107.12114067496526,109.594883627107,118.37631975361384,108.07662073118894,116.2230153106399,110.0081288230868,129.6214294601768,148.57893575262594,104.7938444205684,132.89295080087,126.21456430950415
202012,107.3353829563152,109.92366827798833,119.20495399188913,107.96854411045776,115.87434626470798,110.11813695190988,130.01029374855733,149.32183043138906,104.7938444205684,132.4942719484674,126.59320800243268
202101,107.97939525405307,110.47328661937829,120.39700353180802,108.29244974278912,115.99022061097268,110.33837322581373,130.92036580479723,149.91911775311462,105.10822595383011,133.55422612405513,127.22617404244484
202102,108.51929223032332,111.24659962571393,121.4805765635943,108.40074219253192,116.22220105219463,110.8900650919428,131.44404726801642,151.11847069513954,105.52865885764544,134.48910570692354,127.73507873861465
202103,108.8448501070143,111.46909282496534,122.69538232923024,108.50914293472444,116.8033120574556,111.77718561267837,131.9698234570885,152.47853693139578,106.1618308107913,135.16155123545815,128.88469444726218
202104,109.17138465733532,112.13790738191514,124.04503153485174,109.05168864939806,117.38732861774288,112.44784872635442,133.2895216916594,153.39340815298414,106.90496362646684,135.83735899163543,130.68908016952386
202105,109.60807019596469,112.47432110406088,125.90570700787453,109.70599878129444,118.09165258944932,113.34743151616526,134.48912738688435,154.16037519374905,107.54639340822564,136.380708427602,133.17217269274482
202106,110.15611054694448,113.48658999399744,127.16476407795328,110.25452877520092,119.03638581016492,114.25421096829456,135.43055127859253,155.70197894568653,108.51431094889968,136.7898505528848,134.50389441967226
202107,110.59673498913229,114.39448271394942,127.4190936061092,110.8058014190769,119.63156773921574,114.71122781216776,136.2431345862641,156.79189279830635,109.16539681459308,137.3370099550963,135.44542168060997
202108,111.03912192908882,114.62327167937732,127.29167451250308,111.91385943326766,120.34935714565104,114.82593903997991,136.78810712460916,157.8894360478945,109.49289300503686,137.74902098496162,136.52898505405486
202109,111.261200172947,114.62327167937732,127.1643828379906,112.1376871521342,120.83075457423364,115.05559091805988,136.78810712460916,158.83677266418184,109.38340011203184,137.4735229429917,136.6655140391089
202110,111.37246137311996,115.3110113094536,126.78288968947663,111.91341177782994,121.31407759253058,115.05559091805988,136.24095469611072,159.47211975483856,108.83648311147168,136.64868180533375,136.6655140391089
202111,111.5952062958662,115.65694434338197,126.02219235133978,111.91341177782994,121.92064798049324,114.4803129634696,135.15102705854184,159.79106399434824,108.18346421280286,136.37538444172307,136.39218301103068
202112,112.04158712104967,115.65694434338197,125.26605919723175,111.80149836605212,122.5302512203957,114.82375390235998,134.74557397736623,158.99210867437648,107.42617996331325,135.82988290395616,136.8013595600638
202201,112.71383664377596,116.81351378681576,125.8923894932179,112.3605058578824,122.89784197405687,114.93857765626234,135.1498106992983,158.99210867437648,106.67419670357005,137.18818173299573,138.03257179610438
202202,113.27740582699484,117.51439486953664,126.6477438301772,112.80994788131392,123.38943334195312,115.74314769985618,134.47406164580184,160.58202976112025,106.7808709002736,138.1484990051267,138.860767226881
202203,113.6172380444758,117.9844524490148,126.52109608634704,113.71242746436444,124.2531593753468,115.9746339952559,133.93616539921862,161.22435788016475,106.99443264207416,139.2536869971677,139.5550710630154
202204,113.6172380444758,118.81034361615792,126.6476171824334,113.5987150369001,124.99867833159888,115.39476082527965,132.8646760760249,161.5468065959251,106.88743820943208,140.36771649314502,138.99685077876333
